feature,mean_rel_err_%,max_rel_err_%,n_near_zero,mean_abs_err_nz
w000,7.348504263885517e-11,3.2943386518790056e-10,0,
w100,1.6237140625792435e-10,4.716208363366054e-10,0,
w200,6.84497765519796e-07,1.7806717077626887e-06,0,
w300,8.510068103149848e-11,3.2501028104876266e-10,221,1.5876429643838607e-14
w010_0,8.336089570858919e-08,6.58871404929307e-06,10,3.8441441850927456e-14
w010_1,1.1015761670798789e-07,1.3411357924627829e-05,10,5.542508949685502e-14
w010_2,9.91969237254724e-08,7.18014519506917e-06,12,1.7488365321527475e-14
w110_0,9.440776900788399e-11,4.6085475232730215e-10,0,
w110_1,8.71719416503228e-11,4.669310015266846e-10,0,
w110_2,9.201019967701486e-11,4.765080036222867e-10,0,
w210_0,3.2903595646693366e-06,0.0006678233790667282,0,
w210_1,8.485067750586478e-06,0.0018757060462578745,0,
w210_2,1.373309442409693e-05,0.003523042040883018,0,
w310_0,9.568262180414736e-11,5.521985416964782e-10,0,
w310_1,8.984723139649638e-11,4.838215692351797e-10,0,
w310_2,1.0460380745343954e-10,9.892457026646769e-10,0,
w020_00,1.0641217346317121e-10,4.737518243654133e-10,0,
w020_01,9.808209054622001e-11,4.846705990389598e-10,0,
w020_02,9.586594915907666e-11,4.727200331983459e-10,0,
w020_11,8.98372484502722e-11,4.863410701873996e-10,0,
w020_12,9.667944748792522e-11,4.5051257906544865e-10,0,
w020_22,8.446242655496755e-11,4.5903003345815133e-10,0,
w120_00,8.740202330240117e-11,4.77700761446587e-10,0,
w120_01,9.239188592847154e-11,4.780078115765771e-10,0,
w120_02,8.665242513047664e-11,4.5309289861315977e-10,0,
w120_11,1.0709993889042371e-10,4.5449471574560144e-10,0,
w120_12,1.091862208759296e-10,4.658915740697746e-10,0,
w120_22,1.0378773312670923e-10,4.69837031320519e-10,0,
w220_00,3.9578130535832954e-07,1.5432048766845854e-06,0,
w220_01,2.0728018087209526e-06,0.0009402097320791793,0,
w220_02,1.5330834736235957e-06,0.00035310967545056223,0,
w220_11,3.3753931883228923e-07,1.1780155984240957e-06,0,
w220_12,4.291125462620255e-07,0.00011081953787370608,0,
w220_22,3.3126777777431576e-07,1.2585165107793847e-06,0,
w320_00,9.234387318462406e-11,4.901002214751422e-10,0,
w320_01,9.122896523264931e-11,4.846544946966793e-10,0,
w320_02,9.269182969005335e-11,1.112677462575887e-09,0,
w320_11,1.1664409792727715e-10,4.6499004233693127e-10,0,
w320_12,1.1972594125338477e-10,4.862487607530876e-10,0,
w320_22,1.1777576146781947e-10,4.752683660946752e-10,0,
w102_00,4.817109706959918e-11,4.6055040728241565e-10,0,
w102_01,1.156593503699933e-10,4.828978418052902e-10,0,
w102_02,1.059360781713543e-10,4.883505358272943e-10,0,
w102_11,5.3834819279551795e-11,4.698063233233642e-10,0,
w102_12,1.286126191252079e-10,4.814986370525983e-10,0,
w102_22,6.433916169667172e-11,3.2465625355342883e-10,0,
w202_00,6.547057232154265e-07,2.0412197623648615e-06,0,
w202_01,2.5601426558957018e-05,0.02081658388362886,0,
w202_02,1.0754132435173787e-05,0.005109382688807745,1,9.14555354200507e-09
w202_11,7.783518812060928e-07,2.4255911963375244e-06,0,
w202_12,2.097296150608394e-06,0.00013781700374164023,0,
w202_22,6.141054268569956e-07,2.4219301492139013e-06,0,
beta_w020,1.240875388045927e-10,8.346638120360348e-10,0,
beta_w120,1.1630590623249152e-10,7.01360288019384e-10,0,
beta_w220,1.7417499440404638e-07,8.941673489192725e-07,0,
beta_w320,1.170752410015081e-10,5.389888688769608e-10,0,
beta_w102,1.2027820469901711e-10,5.77472339009702e-10,0,
beta_w202,5.102474464590251e-07,3.052175339967856e-06,0,
w020_EVal1,8.346672393956388e-11,4.823410844328019e-10,0,
w020_EVal2,1.1560541951060058e-10,4.889106976793226e-10,0,
w020_EVal3,8.509206245393125e-11,4.901123756799203e-10,0,
w120_EVal1,8.587229046175393e-11,4.6518157443827315e-10,0,
w120_EVal2,1.0949831459863571e-10,4.740906442056871e-10,0,
w120_EVal3,7.8469733983639e-11,4.72384656742377e-10,0,
w220_EVal1,4.0930214407070273e-07,1.144865909585062e-06,0,
w220_EVal2,3.6305123227926854e-07,1.2609015374825018e-06,0,
w220_EVal3,3.2406630847808526e-07,1.2800619333221738e-06,0,
w320_EVal1,8.906461212276493e-11,4.58511988479242e-10,0,
w320_EVal2,1.2194371607104938e-10,4.919902398247374e-10,0,
w320_EVal3,7.801172839475761e-11,4.504102629567144e-10,0,
w102_EVal1,9.047050092369476e-11,3.5203665416987777e-10,0,
w102_EVal2,5.88978554573773e-11,3.3939067155627166e-10,0,
w102_EVal3,6.672627042890105e-11,4.714871382000097e-10,0,
w202_EVal1,4.497818628044172e-07,1.8758338818360618e-06,0,
w202_EVal2,5.458015900558868e-07,2.472979934482748e-06,0,
w202_EVal3,9.442723345033411e-07,3.538415044184704e-06,0,
